d2mysa2;0;32.9;32.9;18.2;31.2;50;20;41.7;52.9;30.8;27.3;28.6;45;20;46.4;27.3;50;47.1;54;47.6;25;48.2;45.4;100;30;11.1;23.1;37.5;100;35.7;10;50.9;31.8;14.3;44;55.6;56.7
d1kk8a2;21.9;31.4;31.8;14.3;18.2;56.4;40;0;25;42.9;100;30;100;20;45;14.3;100;54.6;0;25;100;50;22.2;58.1;0;100;41.2;30.8;12.5;0;33.3;100;18.2;14.3;36.4;37.5;44.1
d1w7ja2;42;37.6;37.9;38.9;100;35.7;60;44.4;48.2;25;27.3;25;25;20;47.1;0;28.6;34.8;56.4;50.9;0;41.2;47.4;54.8;28.6;27.3;100;100;100;20;35;38.1;56.7;11.1;0;37.5;100
d1d0xa2;32.9;0;0.5;12.5;14.3;28.6;30.4;35;16.7;43.8;42.1;55.6;55.7;25;40;14.3;29.4;20;25;40.7;42.9;54.6;33.3;22.2;50;25;42.9;14.3;100;100;100;100;40;26.1;41.7;100;14.3
d1br2a2;30.8;32.5;32.8;25;30;35.3;40;51.1;100;25;23.1;40;54.6;22.2;42.3;18.2;42.3;58.9;100;21.4;16.7;100;40;11.1;26.7;14.3;48.3;33.3;12.5;50;50;21.4;55.4;43.3;22.2;35.7;30.8
d1lkxa_;43.5;39.5;39;14.3;33.3;50;23.1;33.3;44.4;56.7;26.7;100;55.6;35.3;50;38.5;33.3;41.2;25;0;28.6;41.2;33.3;25;12.5;48;100;45.4;35;35.3;100;53.5;29.4;34.8;35.7;50;44.4
d1mnda2;32.9;0.5;0;12.5;25;28.6;30.4;33.3;16.7;43.8;42.1;55.6;55.7;25;40;14.3;29.4;57.6;25;40.7;50;54.6;33.3;22.2;50;25;35.7;14.3;100;50;100;100;40;26.1;41.7;100;14.3
g1qhh.1;53.4;40.9;40.9;27.3;53.8;37.5;42.1;25;100;0;100;45.4;36.4;100;36.4;60.3;100;26.7;30;44.4;100;47.6;0;54.2;100;53.8;0;20;58.8;31.6;42.1;25;30;33.3;0;44.4;48.4
d1eg7a_;100;36.4;36.4;100;46.7;12.5;55.3;37.5;52;43.8;45.8;100;36.8;50;27.3;47.8;50;100;33.3;10;11.1;16.7;14.3;14.3;41.7;54.1;33.3;0;36.8;57.7;16.7;30.8;100;100;45;53.4;28.6
d1w36b1;18.2;12.5;12.5;0;43.8;37.5;46.2;33.3;27.3;30;11.1;11.1;25;14.3;100;100;100;42.9;28.6;52.9;100;100;100;37.5;14.3;45.4;38.1;53.3;53.3;16.7;41.2;61.5;14.3;35.7;47.1;52.6;100
d1w36c2;0;0;0;40.7;64.7;14.3;100;45.8;0;12.5;35;25;14.3;12.5;14.3;33.3;100;100;27.3;48.8;38.9;40;100;100;100;100;14.3;16.7;38.5;33.3;63.2;42.4;20;42.9;47.4;54.6;36.4
d1e94e_;33.3;25;25;41.7;10.2;14.3;10;52.6;100;0;100;12.5;49.2;37.5;42.9;33.3;100;18.2;54.4;14.3;12.5;21.4;48.4;29.4;35.3;33.3;100;48;48.8;36.8;30.8;40;20;25;100;33.3;22.2
d1g41a_;31.2;14.3;25;43.8;0;33.3;14.3;23.1;44;14.3;60.4;38.1;33.3;25;37.5;22.2;100;18.2;42.3;30;100;57.7;59.2;22.2;14.3;54.2;43.8;48.4;47.1;31.6;33.3;40;20;29.6;100;14.3;12.5
d1e9ra_;28.6;33.3;33.3;30;34.5;47.5;100;50;100;30.8;27.3;47.4;27.3;53.1;100;20;37.5;53.8;12.5;100;57.5;100;20;38.1;33.3;31.2;16.7;100;0;40.5;100;0;16.7;29.4;62.6;100;12.5
d1dj3a_;25;18.2;18.2;53.5;100;39.8;11.1;30;52.2;12.5;46.9;40;40;50;0;30.8;30;27.3;0;25;0;29.4;41.2;51.7;62.2;47.6;42.1;100;100;11.1;43.3;57.4;60.7;30;100;33.3;33.3
d1qf5a_;50;28.6;28.6;37.5;33.3;0;25;37.5;47.1;20;30;43.3;25;25;40;36.4;59.2;26.7;25;18.2;52.6;43.5;37.5;61.1;100;12.5;100;23.1;100;16.7;100;100;35.3;40;44;59.6;100
d1iwea_;100;100;100;100;51.7;39.7;40;100;100;11.1;55.6;28.6;25;25;0;50;53.3;46.2;0;12.5;36.8;100;18.2;38.5;43.8;36.4;40.9;100;100;62.4;22.2;56.9;100;45.4;33.3;22.2;100
d1dj2a_;40;100;100;42.9;100;39.5;40;27.3;41.7;12.5;100;40;25;50;0;100;33.3;27.3;36.4;50;23.1;14.3;50;100;42.9;100;100;45;100;45.8;46.7;33.3;100;45.4;18.2;33.3;62.2
d1w1wa_;20;30.4;30.4;46.2;14.3;25;0;28.6;33.3;28.6;31.6;27.3;100;47.1;42.9;50;55.6;20;47.6;25;38.1;11.1;47.6;47.6;100;22.2;36;100;25;50;100;20;38.5;37.5;100;50;48
d1p9ba_;18.2;35.7;30;46.4;0;41.3;50;55.6;46.7;50;31.2;64.6;12.5;41.2;0;47.8;100;45.4;20;18.2;27.3;33.3;100;62.8;18.2;41.2;25;10;25;59.6;44.4;30;27.3;36.4;28.6;25;100
d1t5la1;55.6;41.7;41.7;27.3;0;27.3;14.3;0;35.7;46.2;15.4;52;36.4;42.3;0;100;25;43.8;42.9;35.7;41.2;40;0;100;33.3;42.9;25;100;35.3;11.1;30.8;28.6;12.5;26.7;100;16.7;12.5
d1p1ja1;36.8;28.6;28.6;0;52;33.3;14.3;39.3;100;43.8;46.7;22.2;55;16.7;47.8;45.4;100;51.5;0;37.5;38.5;100;38.1;100;100;40;33.3;22.2;52.2;0;53.3;26.7;8.3;58.8;14.3;30;100
d1c4oa1;35;16.7;45.8;0;0;50;16.7;38.1;57.5;57.7;37.5;25;41.2;43.8;57.1;57.1;47.6;16.7;38.5;40;12.5;12.5;53.2;100;25;61.4;0;16.7;100;38.5;56.8;40;45;11.1;33.3;38.5;47.5
d1p9ra_;29.4;41.4;40;0;16.7;53.8;51.3;31.6;10;100;33.3;20;31.6;26.7;50;34.6;0;43.8;25;40;100;100;30;11.1;40;47.6;0;22.2;0;42.9;30;51.2;38.9;0;61.5;42.9;35.3
d1tq4a_;41.7;35;33.3;33.3;23.1;37.5;28.6;0;100;46.7;27.8;56.7;30;22.2;48.6;48;16.7;40;42.9;10;46.7;64.3;37.5;12.5;12.5;54.6;36.8;100;16.7;31.2;100;25;53.5;40.7;42.9;30;45.4
d1vkoa1;41.7;100;62;22.2;100;33.3;36.8;31.6;18.2;52.9;55.6;22.2;12.5;50;47.1;28.6;100;22.2;27.3;30;100;28.6;100;12.5;27.3;14.3;43.8;11.1;45.4;39.1;53.6;33.3;100;33.3;40;33.3;100
d1w36b2;25;20;11.1;43.8;20;51.8;14.3;56.8;25;27.3;11.1;14.3;51.9;30.8;57.8;25;37.5;100;50;12.5;53.8;100;45.4;14.3;37.5;25;44.4;41.7;50;18.2;33.3;35.3;37.5;62.5;47.6;0;100
d1i24a_;52.9;16.7;16.7;27.3;44;47.1;33.3;100;0;59;20;50;46.2;51.2;16.7;14.3;100;20;16.7;22.2;47.1;100;18.2;62.1;50;36.4;60;52.6;51.7;100;44.4;36.4;33.3;61.1;100;50;28.6
d1qvra2;30;100;100;100;37.5;22.2;12.5;20;47.1;0;53.5;27.3;0;51;33.3;50;52.2;22.2;100;47.1;16.7;100;27.3;50;56;100;0;0;42.9;28.6;10;46.8;37.5;25;50;20;52
d1gy8a_;14.3;100;100;22.2;35.7;47.4;100;16.7;62;49.1;23.1;100;40;22.2;47.1;33.3;12.5;11.1;35.7;36.4;100;59.3;35;45.4;100;40.7;43.8;0;23.1;100;12.5;16.7;30;25;50;45.4;48.3
g1ii8.1;39.1;11.1;11.1;0;21.4;0;62.3;25;41.4;20;33.3;100;43.8;22.2;52.5;100;35;25;40;100;36.4;100;44.4;44.4;25;28.6;54.6;100;38.9;21.4;11.1;50;36;0;14.3;54.6;30.8
