d1smyd_;0;2.2;31.2;61.2;27.3;100;43.5;10;58.8;100;53.8;29.4;31.6;41.7;25;48.3;38.5;16.7;27.3;43.5;11.1;55.6;100;22.2;35.7;100;40.9;27.3;36.4;14.3;12.5;9.1;100;12.5;41.2;9.1;40;37.5;45;33.3;44.4
d1twfa_;28;32.1;22.2;46.2;34.6;40;48.3;11.1;57.1;57.8;100;60.7;18.2;12.5;57.1;25;28.6;50;25;12.5;43.8;45.4;41.7;44.4;25;38.9;100;25;42.9;36.4;33.3;10;46.7;40;100;23.1;38.9;48.8;45.8;38.5;47.4
d1muka_;31.6;25;51.2;23.1;23.1;50;54.6;23.1;44.8;35.7;18.2;26.7;35.7;36.4;35.3;25;20;25;14.3;25;25;42.9;22.2;50;57.9;26.7;100;60.4;35.7;50;38.1;36.4;27.8;11.1;36.4;27.3;15.4;14.3;41.2;41.7;100
d1ynjd1;2.7;0.4;31.2;50;37.5;46.7;43.5;10;40.9;100;22.2;26.3;100;38.6;55.6;48.3;21.4;54.6;48;43.5;20;33.3;50;22.2;42.9;22.2;35;18.2;36.4;33.3;59.4;18.2;100;100;8.3;9.1;100;30;45;20;44.4
d1i6vd_;2.2;0;31.2;51.8;45.8;50;43.5;60.9;57.5;100;22.2;29.4;35.7;41.7;60.8;48.3;26.7;16.7;100;33.3;20;33.3;50;45.4;44.4;42.1;35;18.2;36.4;14.3;41.9;18.2;100;100;8.3;9.1;100;11.1;45;100;11.1
d1u6gc_;31.6;31.6;45;18.8;50;33.3;0;27.3;42.1;46.9;52.8;31.6;100;58.7;16.7;52.6;30;28.6;57.1;26.7;45.4;36.8;53.6;27.3;46.2;33.3;35.7;47.2;29.4;100;51.1;48.6;23.1;44.4;100;100;38.5;48.7;45.4;100;100
d1twfb_;35.3;100;30.8;25;40;11.1;33.3;30;43.8;18.2;41.7;35.7;25;100;100;35;18.2;36.8;58.3;12.5;33.3;50.7;25;27.3;43.3;33.3;40;25;100;16.7;42.9;46.4;25;0;45.8;30.8;48.4;33.3;30;57.1;27.8
d1urja_;31.2;41.7;50;100;38.5;43.8;100;38.9;38.5;40;100;50;33.3;56.8;25;61.3;40;63.5;40.9;12.5;43.5;41.7;28.6;14.3;35.7;18.8;44.4;41.9;100;41.2;28.6;47.1;39.1;50;46.2;35.3;50.8;40;25;38.9;22.2
d1smyc_;31.2;31.2;0;100;41.2;22.2;100;45;42.1;23.1;41.4;12.5;22.2;30;33.3;30.8;55.6;23.1;22.2;28.6;12.5;32;48.2;39.3;62;35.3;12.5;22.2;33.3;41.7;18.2;22.2;55.6;40;36.4;33.3;27.3;23.1;40.9;46.4;100
d1ynjc1;40.9;38.5;2.8;100;30;22.2;57.1;45;42.1;100;20;12.5;22.2;12.5;33.3;33.3;100;23.1;22.2;28.6;12.5;32;44.4;26.7;50;43.6;12.5;22.2;33.3;25;18.2;100;44;100;36.4;27.3;27.3;23.1;18.2;50;44.4
