d2zcta1;0;31.6;48.9;57.1;39.4;35.3;50;100;40;35;33.3;31.2;40.2;51.8;46.6;100;56.1;54.8;55.6;50;28.6;20;48;60.9;100;33.3;100;41.7;45.4;12.5;100;33.3;12.5;58.3;46.7;100;100;52.6
d2axoa1;100;45.4;100;100;47.1;0;100;100;60.2;0;43.8;58.3;14.3;41.7;25;36.4;41.7;60;100;0;44.4;100;56.5;100;20;100;45.4;100;100;100;100;100;100;100;46.9;100;100;62.2
d1r4wa_;31.6;0;42.1;43.5;60.5;33.3;47.4;45.4;100;38.1;100;42.9;18.2;28.6;100;100;100;50;100;100;100;100;100;52.4;16.7;56.2;100;100;44.4;30;100;33.3;100;100;58.1;64.1;46.7;100
d1prxa_;50.5;41.7;38.4;46.7;51;51.9;100;14.3;100;52.8;53.9;100;48.1;0;55.4;100;0;27.3;61.3;56.1;43.3;30;51.6;61.4;100;30;52.9;100;100;55.3;38.9;100;16.7;100;50;100;100;45.4
d1xcca_;48.9;42.1;0;53.3;53.3;50.8;100;25;60.6;50.6;51.6;52;48.4;33.3;55.9;100;100;63.2;100;56;55.1;22.2;16.7;100;100;100;33.3;100;100;100;100;52.4;100;100;41.7;50;28.6;46.2
d1a0rp_;100;43.5;40;4.6;12.5;37.5;33.3;30.8;30;47.4;36.4;100;50;22.2;22.2;62.5;0;100;20;100;46.2;10;28.6;100;25;16.7;100;37.5;100;55.1;25;100;100;25;100;100;58.1;21.4
d2trcp_;57.1;43.5;53.3;0;44.4;37.5;28.6;37.5;27.3;54.4;36.4;100;60;22.2;22.2;100;16.7;100;20;100;46.2;10;28.6;100;25;59.4;100;37.5;100;53.9;30;100;100;25;100;100;100;21.4
d1pn0a2;40;57.1;100;46.9;100;50;50;52.6;100;100;14.3;44.4;28.6;35;63.9;100;42.9;0;100;52.9;100;40;100;16.7;100;51.7;51.5;100;42.9;100;58.3;45.4;20;14.3;100;100;100;100
d1qmva_;39.4;60.5;53.3;44.4;0;19.8;28.6;36.4;16.7;8.7;30.2;45.2;22.8;60.6;41.2;60.2;58.4;54.1;57.6;52.6;100;59.5;59.8;43.8;100;56.8;55.6;42.9;25;36.4;100;38.5;65.5;100;100;63.6;100;43.8
d1un2a_;100;43.2;100;100;16.7;25;16.7;100;30.9;48.2;16.7;56.4;43.5;57.8;47.1;59;30.8;100;22.2;100;63.6;48;35.7;31.2;51.6;16.7;42.9;61.9;100;58.3;40;100;100;10;100;100;46.5;23.1
d1uula_;35.3;33.3;50.8;37.5;19.8;0;36.4;45;16.7;20.3;35.8;47.1;14.4;60.9;41.2;58.5;100;55.1;60.2;50;55.6;100;59.5;27.3;100;61.1;42.9;100;59.6;27.3;100;16.7;60;100;100;50;100;25
d1fvka_;100;43.2;100;100;16.7;47.8;16.7;100;37.6;48.2;16.7;31.6;43.5;57.8;47.1;100;30.8;100;22.2;100;63.6;48;35.7;31.2;51.6;16.7;42.9;63.6;100;58.3;40;100;100;10;100;100;46.5;23.1
d2cvba1;50;47.4;100;28.6;28.6;36.4;0;61.9;54;100;59;16.7;16.7;12.5;100;100;55.6;30.8;100;45;12.5;100;61.1;100;100;100;100;16.7;100;100;100;100;50;40;20;100;49.1;50
d1n8ja_;49.7;100;55.8;22.2;40.6;40.6;100;25;55.1;38.3;47.7;64.6;44.2;100;1.2;12.5;63.8;54;25;52.4;55.6;100;18.2;60.5;100;28.6;54.2;50;37.5;100;100;52.4;28.6;41.7;43.8;14.3;38.7;22.2
