d2zcta1;0;29.4;35.5;33.3;28.7;31.7;49.5;41.2;24;27.2;33.3;27.3;39.3;27.9;41.7;42.3;38.3;36.9;15.4;34.5;29.4;45.9;41.7;22.2;43.8;20;35;27.8
d2axoa1;38.8;51.6;25;36;39.1;25;22.2;42.4;41;30.4;50;48.3;38.5;36.4;20.8;37.5;47.8;20;47.8;43.9;51.2;44;0;29.4;52;42.1;46.8;42.5
d1r4wa_;29.4;0;31;27.3;43.3;46.5;43.5;27.3;31.6;33.3;10;25;45.5;38.9;33.3;47.8;38.5;26.3;15.4;31.4;36;24;37.5;30;30.8;44.4;29.2;43.2
d1prxa_;38.9;27.3;25.9;25;40.1;39.3;44;23.1;11.1;39.3;14.3;25;43.5;44.6;39.6;42;38.8;46.5;37.5;35;44.3;29.2;47.1;39.1;44.7;33.3;46.3;21.4
d1xcca_;35.5;31;0;12.5;37.9;35;44.4;14.3;50;38.6;30;45.3;16.7;41.4;30.4;22.2;21.4;39;50;29.4;10;40.7;43.3;33.3;50;25;37.5;34.6
d1a0rp_;29.6;27.3;33.3;1.4;12.5;40.6;33.3;30.8;23.1;31.6;18.8;37.5;23.8;26.3;28;35.3;9.1;15.4;35.6;12.5;36;27.8;21.1;16.7;39.3;12.5;27.8;46.9
d2trcp_;33.3;27.3;12.5;0;10;37.5;37.5;33.3;18.2;57.6;31.6;38.5;28.6;50;32;35.3;28;23.1;40.9;12.5;40.7;27.8;34.6;16.7;38.2;22.7;27.8;46.1
d1pn0a2;0;26.3;40;40.6;26.7;45.5;38.1;22.2;25;28.6;16.7;38.5;30;36.4;0;38.1;44.7;35.7;20;39.1;27.8;35.3;45.9;38.5;45;21.1;12.5;11.1
d1qmva_;28.7;43.3;37.9;10;0;13;51.1;18.2;16.7;4.6;40.7;38.9;45.5;30;44.1;45;40.8;41.1;44.4;44.3;18.2;25;39.5;28.6;20;35.7;10;54.5
d1un2a_;14.3;37.8;36.8;0;16.7;34.8;16.7;39.4;19.8;34.8;39.1;31.6;0;42.4;15.4;32;27.3;23.8;36.8;41.5;31.2;34.8;46.9;33.3;40;13.3;30.8;35
d1uula_;31.7;46.5;35;37.5;13;0;50;31.2;16.7;12.2;34.5;14.3;42;28.8;39.5;45;42.9;44.6;44;40;18.2;44.4;28.6;10;40;14.3;45.8;31.2
